[TAILING] Tailing last 200 lines for [all] processes (change the value with --lines option)
/home/incall/.pm2/pm2.log last 200 lines:
PM2        | 2026-04-04T06:29:03: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T06:29:04: PM2 log: pid=4033566 msg=process killed
PM2        | 2026-04-04T06:29:04: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T06:29:04: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T06:38:14: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T06:38:14: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T06:38:14: PM2 log: pid=4043990 msg=process killed
PM2        | 2026-04-04T06:38:14: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T06:38:14: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T07:18:26: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T07:18:26: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T07:18:26: PM2 log: pid=4044533 msg=process killed
PM2        | 2026-04-04T07:18:26: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T07:18:26: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T10:44:25: PM2 log: Process 0 in a stopped status, starting it
PM2        | 2026-04-04T10:44:25: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T10:44:25: PM2 log: pid=4047453 msg=failed to kill - retrying in 100ms
PM2        | 2026-04-04T10:44:25: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T10:44:25: PM2 log: pid=4047453 msg=process killed
PM2        | 2026-04-04T10:44:25: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T10:44:25: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T10:52:35: PM2 log: Process 0 in a stopped status, starting it
PM2        | 2026-04-04T10:52:35: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T10:52:35: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T10:52:35: PM2 log: pid=4058453 msg=process killed
PM2        | 2026-04-04T10:52:35: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T10:52:35: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T11:14:19: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T11:14:20: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T11:14:20: PM2 log: pid=4059007 msg=process killed
PM2        | 2026-04-04T11:14:20: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T11:14:20: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T11:18:00: PM2 log: Process 0 in a stopped status, starting it
PM2        | 2026-04-04T11:18:00: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T11:18:00: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T11:18:00: PM2 log: pid=4060015 msg=process killed
PM2        | 2026-04-04T11:18:00: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T11:18:00: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T11:27:52: PM2 log: Process 0 in a stopped status, starting it
PM2        | 2026-04-04T11:27:52: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T11:27:52: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T11:27:52: PM2 log: pid=4060537 msg=process killed
PM2        | 2026-04-04T11:27:52: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T11:27:52: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T11:36:52: PM2 log: Process 0 in a stopped status, starting it
PM2        | 2026-04-04T11:36:52: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T11:36:52: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T11:36:53: PM2 log: pid=4061200 msg=process killed
PM2        | 2026-04-04T11:36:53: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T11:36:53: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T23:28:33: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T23:28:34: PM2 log: pid=4062191 msg=failed to kill - retrying in 100ms
PM2        | 2026-04-04T23:28:34: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T23:28:34: PM2 log: pid=4062191 msg=process killed
PM2        | 2026-04-04T23:28:34: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T23:28:34: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T23:32:18: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T23:32:18: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T23:32:18: PM2 log: pid=4084689 msg=process killed
PM2        | 2026-04-04T23:32:18: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T23:32:18: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-05T00:35:03: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-05T00:35:03: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-05T00:35:03: PM2 log: pid=4085245 msg=process killed
PM2        | 2026-04-05T00:35:03: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-05T00:35:03: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-05T00:51:21: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-05T00:51:22: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-05T00:51:22: PM2 log: pid=4088042 msg=process killed
PM2        | 2026-04-05T00:51:22: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-05T00:51:22: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-05T00:54:30: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-05T00:54:30: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-05T00:54:30: PM2 log: pid=4088912 msg=process killed
PM2        | 2026-04-05T00:54:30: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-05T00:54:30: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-05T00:58:53: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-05T00:58:53: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-05T00:58:54: PM2 log: pid=4089392 msg=process killed
PM2        | 2026-04-05T00:58:54: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-05T00:58:54: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-05T01:03:14: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-05T01:03:14: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-05T01:03:14: PM2 log: pid=4089899 msg=process killed
PM2        | 2026-04-05T01:03:14: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-05T01:03:14: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-05T01:07:22: PM2 log: Stopping app:inside.tsol.vn id:0
